firstname,p_r_f_his,p_r_f_whi,p_r_f_bla,p_r_f_asi,p_r_f_oth
KARRY,0,1,0,0,0
KARTHIK,0,0.2,0,0.8,0
KARY,0.027027027,0.837837838,0.135135135,0,0
KARYN,0.003322259,0.953488372,0.016611296,0.026578073,0
KASEY,0.006097561,0.945121951,0.012195122,0.030487805,0.006097561
KASSANDRA,0.032258065,0.870967742,0.096774194,0,0
KATARINA,0,1,0,0,0
KATARZYNA,0,1,0,0,0
KATE,0.007109005,0.933649289,0.028436019,0.030805687,0
KATELYN,0,0.904761905,0,0.095238095,0
KATERINA,0.028571429,0.942857143,0,0,0.028571429
KATHARINE,0.002702703,0.97027027,0.008108108,0.013513514,0.005405405
KATHE,0,1,0,0,0
KATHERIN,0,1,0,0,0
KATHERINE,0.018325698,0.942523948,0.015618492,0.021865889,0.001665973
KATHERYN,0.021276596,0.946808511,0.010638298,0.010638298,0.010638298
KATHI,0,0.981481481,0.00617284,0.00617284,0.00617284
KATHIE,0.024271845,0.912621359,0.009708738,0.053398058,0
KATHLEEN,0.007729113,0.976536621,0.005152742,0.008373206,0.002208318
KATHLYN,0.02173913,0.913043478,0.043478261,0.02173913,0
KATHRIN,0,1,0,0,0
KATHRINE,0.029850746,0.910447761,0.059701493,0,0
KATHRYN,0.009745763,0.972245763,0.010169492,0.006355932,0.001483051
KATHRYNE,0,0.971428571,0.028571429,0,0
KATHY,0.017314789,0.930173148,0.021856372,0.02810105,0.002554641
KATI,0,0.970588235,0,0.029411765,0
KATIE,0.005405405,0.945045045,0.022522523,0.025225225,0.001801802
KATINA,0,0.684931507,0.315068493,0,0
KATRIN,0,1,0,0,0
KATRINA,0.020440252,0.81918239,0.135220126,0.01572327,0.009433962
KATY,0.034965035,0.895104895,0.006993007,0.062937063,0
KAUSHIK,0.028571429,0.171428571,0,0.771428571,0.028571429
KAVITA,0,0.222222222,0,0.777777778,0
KAVITHA,0,0.176470588,0,0.794117647,0.029411765
KAY,0.010060362,0.918511066,0.031187123,0.038229376,0.002012072
KAYCE,0,1,0,0,0
KAYE,0.006711409,0.939597315,0.040268456,0.013422819,0
KAYLA,0.015873016,0.928571429,0.01984127,0.035714286,0
KAYLEE,0,1,0,0,0
KAYLEEN,0,1,0,0,0
KAYLYN,0,1,0,0,0
KAZIMIERZ,0,1,0,0,0
KE,0,0,0,1,0
KEE,0,0,0,1,0
KEEGAN,0,1,0,0,0
KEELY,0,0.960526316,0.026315789,0,0.013157895
KEENAN,0,0.64516129,0.290322581,0.064516129,0
KEIKO,0,0.292682927,0.048780488,0.609756098,0.048780488
KEISHA,0.025,0.25,0.725,0,0
KEITH,0.006369427,0.929572338,0.045313922,0.016014559,0.002729754
KELI,0,0.909090909,0.045454545,0.022727273,0.022727273
KELLE,0,1,0,0,0
KELLEE,0,0.869565217,0.108695652,0.02173913,0
KELLEEN,0,1,0,0,0
KELLEY,0.001492537,0.979104478,0.010447761,0.005970149,0.002985075
KELLI,0.004545455,0.957954545,0.027272727,0.005681818,0.004545455
KELLIE,0.007722008,0.959459459,0.015444015,0.00965251,0.007722008
KELLY,0.007065669,0.968135218,0.007065669,0.015378221,0.002355223
KELSEY,0.006711409,0.966442953,0.013422819,0.006711409,0.006711409
KELVIN,0.051724138,0.284482759,0.405172414,0.254310345,0.004310345
KEN,0.008474576,0.716949153,0.013559322,0.261016949,0
KENDAL,0.032258065,0.870967742,0.096774194,0,0
KENDALL,0.007968127,0.912350598,0.06374502,0.015936255,0
KENDRA,0.004255319,0.910638298,0.072340426,0.006382979,0.006382979
KENDRICK,0,0.542857143,0.371428571,0.085714286,0
KENIA,0.733333333,0.166666667,0.1,0,0
KENNA,0,0.939393939,0.060606061,0,0
KENNETH,0.010639149,0.923046156,0.042236621,0.021678266,0.002399808
KENNY,0.028735632,0.548850575,0.040229885,0.373563218,0.00862069
KENT,0.003448276,0.931896552,0.018103448,0.045689655,0.000862069
KENTON,0,0.924731183,0.053763441,0.010752688,0.010752688
KENYA,0.020833333,0.229166667,0.708333333,0,0.041666667
KENYON,0.03125,0.78125,0.0625,0.125,0
KEREN,0.131578947,0.763157895,0.026315789,0.078947368,0
KERI,0.01,0.975,0.005,0.0075,0.0025
KERIN,0,1,0,0,0
KERMIT,0,0.871428571,0.128571429,0,0
KERRI,0.00984252,0.978346457,0.005905512,0.005905512,0
KERRIE,0,0.991869919,0.008130081,0,0
KERRY,0.007879656,0.95487106,0.024355301,0.010744986,0.002148997
KERSTIN,0,0.962264151,0,0,0.037735849
KETAN,0,0.194444444,0,0.777777778,0.027777778
KEVAN,0,1,0,0,0
KEVEN,0.018181818,0.909090909,0.036363636,0.036363636,0
KEVIN,0.00816049,0.929615777,0.028357701,0.032369942,0.00149609
KHALED,0.033333333,0.65,0.033333333,0.25,0.033333333
KHALID,0.010869565,0.445652174,0.043478261,0.47826087,0.02173913
KHALIL,0,0.813953488,0.093023256,0.093023256,0
KHANG,0,0,0,1,0
KHANH,0,0.014285714,0,0.971428571,0.014285714
KHOA,0,0.039215686,0.019607843,0.941176471,0
KHOI,0.023809524,0.023809524,0,0.952380952,0
KI,0,0.052631579,0.013157895,0.934210526,0
KIA,0,0.4,0.457142857,0.142857143,0
KIEN,0,0.029411765,0,0.970588235,0
KIERAN,0.032258065,0.967741935,0,0,0
KIERSTEN,0.027777778,0.916666667,0.055555556,0,0
KIET,0,0.043478261,0,0.934782609,0.02173913
KIEU,0,0,0,1,0
KILEY,0,0.966666667,0.033333333,0,0
KIM,0.007761565,0.845079168,0.044085688,0.097795716,0.005277864
KIMBALL,0,1,0,0,0
KIMBER,0,0.961538462,0.038461538,0,0
KIMBERLEE,0.012396694,0.958677686,0.004132231,0.020661157,0.004132231
KIMBERLEY,0.015250545,0.91503268,0.054466231,0.010893246,0.004357298
KIMBERLI,0,0.90625,0.0625,0.03125,0
KIMBERLIE,0.018867925,0.962264151,0.018867925,0,0
KIMBERLY,0.010895507,0.939815295,0.037563557,0.008923939,0.002801702
KIN,0,0,0,1,0
KING,0.03125,0.125,0.09375,0.71875,0.03125
KINGA,0,1,0,0,0
KIP,0,0.991596639,0,0.008403361,0
KIRA,0.011235955,0.93258427,0.056179775,0,0
KIRAN,0.008695652,0.165217391,0,0.808695652,0.017391304
KIRBY,0.014084507,0.887323944,0.056338028,0.035211268,0.007042254
KIRK,0.003533569,0.955830389,0.02385159,0.013250883,0.003533569
KIRSTEN,0.005870841,0.98630137,0.001956947,0.003913894,0.001956947
KIRSTIN,0.012195122,0.963414634,0,0.024390244,0
KIRT,0,0.951219512,0.024390244,0.024390244,0
KISHORE,0,0.166666667,0,0.833333333,0
KIT,0,0.466666667,0,0.52,0.013333333
KITTY,0.011494253,0.75862069,0.022988506,0.195402299,0.011494253
KLAUS,0.010752688,0.989247312,0,0,0
KOJI,0,0,0,1,0
KONG,0,0,0,0.967741935,0.032258065
KONRAD,0.051282051,0.897435897,0.025641026,0.025641026,0
KONSTANTIN,0,0.943396226,0,0.056603774,0
KONSTANTINOS,0.020408163,0.979591837,0,0,0
KOREY,0,0.866666667,0.133333333,0,0
KORI,0,0.986842105,0.013157895,0,0
KORY,0,0.967213115,0.016393443,0.016393443,0
KOSTAS,0,1,0,0,0
KOU,0,0,0,1,0
KRAIG,0.011764706,0.952941176,0.023529412,0.011764706,0
KRIS,0.012847966,0.929336188,0.004282655,0.051391863,0.002141328
KRISHNA,0.014925373,0.253731343,0.014925373,0.679104478,0.037313433
KRISTA,0.008816121,0.981108312,0.005037783,0.005037783,0
KRISTAL,0.061538462,0.830769231,0.061538462,0.030769231,0.015384615
KRISTAN,0.037037037,0.938271605,0,0.024691358,0
KRISTEN,0.00805153,0.982286634,0.005636071,0.002818035,0.001207729
KRISTI,0.011538462,0.952884615,0.010576923,0.019230769,0.005769231
KRISTIAN,0.057692308,0.932692308,0.009615385,0,0
KRISTIE,0.010438413,0.943632568,0.012526096,0.029227557,0.004175365
KRISTIN,0.005800464,0.982598608,0.005027069,0.006573859,0
KRISTINA,0.021079258,0.94688027,0.013490725,0.016020236,0.002529511
KRISTINE,0.011494253,0.952745849,0.004469987,0.028097063,0.003192848
KRISTOFER,0.028169014,0.943661972,0,0.028169014,0
KRISTOFFER,0,0.860465116,0.023255814,0.11627907,0
KRISTOPHER,0.013483146,0.964044944,0.011235955,0.008988764,0.002247191
KRISTY,0.006756757,0.956756757,0.014864865,0.02027027,0.001351351
KRISTYN,0,1,0,0,0
KRYSTA,0,1,0,0,0
KRYSTAL,0.051162791,0.809302326,0.125581395,0.004651163,0.009302326
KRYSTLE,0.083333333,0.708333333,0.166666667,0.020833333,0.020833333
KRYSTYNA,0.014084507,0.957746479,0,0.014084507,0.014084507
KRZYSZTOF,0,0.992857143,0,0.007142857,0
KULWANT,0.029411765,0.088235294,0,0.882352941,0
KULWINDER,0,0.108108108,0,0.810810811,0.081081081
KUMAR,0,0.26,0,0.68,0.06
KUN,0,0,0,1,0
KUO,0,0,0,1,0
KURT,0.002389486,0.979091995,0.009557945,0.00776583,0.001194743
KURTIS,0,0.972972973,0,0.027027027,0
KWANG,0,0.057971014,0,0.942028986,0
KWOK,0,0,0,1,0
KWONG,0,0,0,1,0
KY,0,0.195121951,0,0.780487805,0.024390244
KYAW,0,0,0,1,0
KYLA,0,1,0,0,0
KYLE,0.003618818,0.963811821,0.014073181,0.015681544,0.002814636
KYLIE,0,0.948275862,0.034482759,0.017241379,0
KYMBERLY,0,0.903225806,0.064516129,0.032258065,0
KYONG,0.018867925,0.094339623,0.018867925,0.867924528,0
KYRA,0,0.838709677,0.129032258,0.032258065,0
KYU,0,0,0,1,0
KYUNG,0.005464481,0.032786885,0,0.956284153,0.005464481
LACEY,0,0.982352941,0.017647059,0,0
LACY,0.00952381,0.904761905,0.076190476,0,0.00952381
LADONNA,0,0.744680851,0.241134752,0.007092199,0.007092199
LAEL,0,1,0,0,0
LAI,0,0.0125,0.0125,0.975,0
LAILA,0.053571429,0.732142857,0.035714286,0.178571429,0
LAIRD,0,1,0,0,0
LAKISHA,0,0.088235294,0.911764706,0,0
LAKSHMI,0.028169014,0.126760563,0,0.816901408,0.028169014
LAM,0,0,0,1,0
LAMAR,0,0.72,0.266666667,0,0.013333333
LAMONT,0,0.492957746,0.492957746,0.014084507,0
LAN,0.011695906,0.087719298,0.005847953,0.894736842,0
LANA,0.008988764,0.937078652,0.024719101,0.026966292,0.002247191
LANCE,0.011961722,0.932216906,0.020733652,0.029505582,0.005582137
LANDON,0,0.965909091,0.034090909,0,0
LANE,0.00617284,0.938271605,0.030864198,0.012345679,0.012345679
LANETTE,0.035714286,0.892857143,0.071428571,0,0
LANI,0,0.831460674,0.011235955,0.157303371,0
LANNY,0.02247191,0.898876404,0.02247191,0.056179775,0
LARA,0.021671827,0.959752322,0.00619195,0.009287926,0.003095975
LARAINE,0.020408163,0.857142857,0.081632653,0.040816327,0
LARISA,0.016528926,0.975206612,0,0.008264463,0
LARISSA,0.037037037,0.874074074,0.044444444,0.044444444,0
LARRY,0.018345865,0.904360902,0.059548872,0.013834586,0.003909774
LARS,0.009259259,0.990740741,0,0,0
LARUE,0,1,0,0,0
LARYSA,0,1,0,0,0
LASZLO,0,0.981132075,0,0.018867925,0
LATANYA,0,0.03125,0.96875,0,0
LATASHA,0.036585366,0.085365854,0.865853659,0,0.012195122
LATISHA,0.025,0.325,0.65,0,0
LATONYA,0,0.03030303,0.939393939,0,0.03030303
LATOYA,0.043010753,0.043010753,0.913978495,0,0
LATRICE,0.03125,0.0625,0.90625,0,0
LAUNA,0,1,0,0,0
LAURA,0.055894095,0.925089304,0.007564614,0.008720319,0.002731666
LAURALEE,0,1,0,0,0
LAUREEN,0.00990099,0.930693069,0.02970297,0.01980198,0.00990099
LAUREL,0.005181347,0.962003454,0.015544041,0.010362694,0.006908463
LAUREN,0.009623797,0.962379703,0.01399825,0.009623797,0.004374453
LAURENCE,0.00814664,0.932790224,0.034623218,0.022403259,0.00203666
LAURENE,0,0.976744186,0,0.023255814,0
LAURENT,0,0.87755102,0.081632653,0.040816327,0
LAURETTA,0.023809524,0.952380952,0.023809524,0,0
LAURI,0.009661836,0.985507246,0.004830918,0,0
LAURIE,0.012142857,0.972857143,0.005357143,0.007142857,0.0025
LAURIN,0,1,0,0,0
LAURO,0.755555556,0.088888889,0,0.155555556,0
LAVERN,0,0.75,0.25,0,0
LAVERNE,0.02,0.62,0.346666667,0.013333333,0
LAVON,0,0.805555556,0.166666667,0.027777778,0
LAVONNE,0.022727273,0.875,0.102272727,0,0
LAWANDA,0,0.243243243,0.756756757,0,0
LAWRENCE,0.022047588,0.908535254,0.041912246,0.024885396,0.002619515
LAYNE,0,0.948717949,0,0.051282051,0
LAZARO,0.893333333,0.04,0,0.053333333,0.013333333
LE,0,0.13253012,0.012048193,0.855421687,0
LEA,0.022727273,0.882575758,0.015151515,0.079545455,0
LEAH,0.013435701,0.929942418,0.025911708,0.026871401,0.003838772
LEANDRO,0.674418605,0.186046512,0,0.139534884,0
LEANN,0.029520295,0.926199262,0.011070111,0.022140221,0.011070111
LEANNA,0.02,0.89,0.03,0.06,0
LEANNE,0.017811705,0.959287532,0.002544529,0.015267176,0.005089059
LEE,0.009611534,0.9030837,0.044453344,0.04164998,0.001201442
LEEANN,0.006622517,0.947019868,0.013245033,0.033112583,0
LEENA,0.02,0.36,0,0.62,0
LEESA,0.019607843,0.960784314,0.019607843,0,0
LEI,0.00862069,0.025862069,0,0.965517241,0
LEIF,0.011111111,0.977777778,0,0,0.011111111
LEIGH,0.004854369,0.966019417,0.014563107,0.012944984,0.001618123
LEIGHTON,0,0.641025641,0.256410256,0.102564103,0
LEILA,0.061349693,0.748466258,0.061349693,0.128834356,0
LEILANI,0.041666667,0.597222222,0.027777778,0.319444444,0.013888889
LEISA,0,0.940298507,0.059701493,0,0
LELA,0.031746032,0.73015873,0.238095238,0,0
LELAND,0.004016064,0.911646586,0.024096386,0.060240964,0
LELIA,0.125,0.53125,0.3125,0.03125,0
LEN,0,0.734693878,0.081632653,0.183673469,0
LENA,0.041811847,0.742160279,0.114982578,0.094076655,0.006968641
LENARD,0,0.818181818,0.090909091,0.090909091,0
LENNY,0.095238095,0.69047619,0.071428571,0.142857143,0
LENORA,0.027027027,0.711711712,0.216216216,0.036036036,0.009009009
LENORE,0.030120482,0.915662651,0.042168675,0.012048193,0
LEO,0.066666667,0.809876543,0.043209877,0.077777778,0.002469136
LEOBARDO,1,0,0,0,0
LEON,0.031746032,0.728715729,0.19047619,0.041847042,0.007215007
LEONA,0.016666667,0.866666667,0.088888889,0.027777778,0
LEONARD,0.032310178,0.872913301,0.070005385,0.021001616,0.003769521
LEONARDO,0.653696498,0.214007782,0.003891051,0.128404669,0
LEONEL,0.895833333,0.076388889,0.013888889,0.013888889,0
LEONID,0.013513514,0.97972973,0,0.006756757,0
LEONOR,0.74025974,0.142857143,0.012987013,0.103896104,0
LEONORA,0.101694915,0.440677966,0.084745763,0.372881356,0
LEOPOLDO,0.808823529,0.088235294,0,0.095588235,0.007352941
LEORA,0,0.882352941,0,0.058823529,0.058823529
LEROY,0.040257649,0.690821256,0.249597424,0.009661836,0.009661836
LES,0,0.938461538,0,0.046153846,0.015384615
LESA,0,0.94,0.053333333,0,0.006666667
LESLEE,0,1,0,0,0
LESLEY,0.020547945,0.913242009,0.034246575,0.02283105,0.00913242
LESLI,0.064516129,0.919354839,0,0.016129032,0
LESLIE,0.017911201,0.926337033,0.036326942,0.016145308,0.003279516
LESLY,0.227272727,0.5,0.227272727,0.022727273,0.022727273
LESTER,0.030418251,0.811787072,0.115969582,0.036121673,0.005703422
LESZEK,0,0.972222222,0,0.027777778,0
LETA,0,0.962264151,0.018867925,0.018867925,0
LETHA,0,0.863636364,0.136363636,0,0
LETICIA,0.752508361,0.168896321,0.013377926,0.06187291,0.003344482
LETITIA,0.066666667,0.68,0.213333333,0.04,0
LEVI,0.029239766,0.883040936,0.058479532,0.029239766,0
LEVON,0,0.854166667,0.104166667,0.020833333,0.020833333
LEWIS,0.008633094,0.902158273,0.067625899,0.017266187,0.004316547
LEX,0,1,0,0,0
LEZLIE,0,0.971428571,0,0.028571429,0
LI,0.006666667,0.013333333,0,0.98,0
LIA,0.084507042,0.76056338,0.042253521,0.084507042,0.028169014
LIAM,0.015151515,0.96969697,0,0.015151515,0
LIAN,0.026315789,0.078947368,0.026315789,0.868421053,0
LIANA,0.162162162,0.756756757,0.040540541,0.040540541,0
LIANE,0.013513514,0.810810811,0.013513514,0.162162162,0
LIANG,0,0.014285714,0,0.985714286,0
LIANNE,0,0.88372093,0,0.11627907,0
LIBBY,0.036363636,0.963636364,0,0,0
LIDA,0.113207547,0.773584906,0,0.113207547,0
LIDIA,0.577114428,0.388059701,0.009950249,0.024875622,0
LIEM,0.025,0.025,0,0.95,0
LIEN,0,0,0,1,0
LIESL,0,1,0,0,0
LIGIA,0.75,0.25,0,0,0
LIHUA,0,0,0,1,0
LIISA,0,1,0,0,0
LILA,0.036231884,0.891304348,0.014492754,0.050724638,0.007246377
LILI,0.076923077,0.403846154,0,0.5,0.019230769
LILIA,0.564356436,0.262376238,0.014851485,0.153465347,0.004950495
LILIAN,0.391666667,0.375,0.033333333,0.191666667,0.008333333
LILIANA,0.715909091,0.267045455,0,0.011363636,0.005681818
LILIBETH,0.15625,0.28125,0,0.5625,0
LILIYA,0,0.947368421,0.026315789,0.026315789,0
LILLIAN,0.121301775,0.686390533,0.099112426,0.090236686,0.00295858
LILLIE,0.008196721,0.418032787,0.557377049,0.016393443,0
LILLY,0.163636364,0.454545455,0.036363636,0.345454545,0
LILY,0.07751938,0.302325581,0.011627907,0.604651163,0.003875969
LIMING,0,0,0,1,0
LIN,0,0.119047619,0,0.873015873,0.007936508
LINA,0.202020202,0.5,0.015151515,0.282828283,0
LINCOLN,0.046296296,0.685185185,0.166666667,0.101851852,0
LINDA,0.020965653,0.926743541,0.031140162,0.018992415,0.002158229
LINDSAY,0.004761905,0.98,0.008571429,0.004761905,0.001904762
LINDSEY,0.007641921,0.96069869,0.010917031,0.017467249,0.003275109
LINDY,0,0.917647059,0,0.082352941,0
LINETTE,0.052631579,0.868421053,0.078947368,0,0
LING,0.010526316,0.021052632,0,0.968421053,0
LINH,0,0.042944785,0,0.957055215,0
LINNEA,0.032786885,0.950819672,0,0,0.016393443
LINO,0.66,0.3,0,0.04,0
LINSEY,0.029411765,0.882352941,0.029411765,0.058823529,0
LINWOOD,0.019230769,0.5,0.480769231,0,0
LIONEL,0.113924051,0.550632911,0.265822785,0.056962025,0.012658228
LIOR,0,1,0,0,0
LISA,0.021270775,0.93639286,0.023459408,0.01661993,0.002257028
LISANDRO,1,0,0,0,0
LISBETH,0.222222222,0.733333333,0.044444444,0,0
LISE,0.018181818,0.927272727,0.054545455,0,0
LISETTE,0.475409836,0.475409836,0,0.049180328,0
LISSA,0.065217391,0.913043478,0,0.02173913,0
LISSETTE,0.780487805,0.219512195,0,0,0
LITA,0.075,0.5,0.05,0.35,0.025
LIV,0,1,0,0,0
LIVIA,0.235294118,0.705882353,0.029411765,0.029411765,0
LIVIU,0,1,0,0,0
LIXIN,0,0,0,1,0
LIZ,0.395348837,0.534883721,0,0.069767442,0
LIZA,0.117647059,0.664705882,0.029411765,0.182352941,0.005882353
LIZABETH,0.073170732,0.914634146,0,0.012195122,0
LIZBETH,0.433962264,0.566037736,0,0,0
LIZETTE,0.630434783,0.282608696,0.043478261,0.043478261,0
LJILJANA,0,1,0,0,0
LLOYD,0.006468305,0.856403622,0.102199224,0.033635188,0.001293661
LOAN,0,0.049382716,0,0.950617284,0
LOC,0.010989011,0.010989011,0,0.978021978,0
LOGAN,0,0.942028986,0.028985507,0.014492754,0.014492754
LOI,0.021276596,0.021276596,0,0.936170213,0.021276596
LOIS,0.005283019,0.92754717,0.052830189,0.012075472,0.002264151
LOLA,0.054216867,0.722891566,0.198795181,0.012048193,0.012048193
LOLITA,0.101010101,0.242424242,0.242424242,0.414141414,0
LON,0.006802721,0.918367347,0.020408163,0.054421769,0
LONA,0.021276596,0.936170213,0,0.021276596,0.021276596
LONG,0.010810811,0.005405405,0,0.978378378,0.005405405
LONI,0,0.973684211,0.026315789,0,0
LONNA,0,0.970588235,0.029411765,0,0
LONNIE,0.007751938,0.874031008,0.104651163,0.007751938,0.005813953
LONNY,0,1,0,0,0
LORA,0.014251781,0.945368171,0.028503563,0.004750594,0.007125891
LORAINE,0.038095238,0.80952381,0.123809524,0.028571429,0
LOREE,0,1,0,0,0
LOREEN,0.043478261,0.869565217,0.043478261,0.043478261,0
LORELEI,0.015873016,0.873015873,0.031746032,0.079365079,0
LOREN,0.018255578,0.947261663,0.016227181,0.014198783,0.004056795
LORENA,0.711340206,0.262886598,0.005154639,0.015463918,0.005154639
LORENE,0.008849558,0.920353982,0.061946903,0.008849558,0
LORENZA,0.606060606,0.090909091,0.242424242,0.060606061,0
LORENZO,0.534296029,0.21299639,0.187725632,0.061371841,0.003610108
LORETO,0.375,0.3,0,0.325,0
LORETTA,0.033437827,0.86415883,0.081504702,0.015673981,0.00522466
LORI,0.008078679,0.969617141,0.007903056,0.011942396,0.002458728
LORIANN,0.019607843,0.980392157,0,0,0
LORIE,0.026022305,0.918215613,0.037174721,0.014869888,0.003717472
LORILEE,0,1,0,0,0
LORIN,0.012195122,0.93902439,0,0.036585366,0.012195122
LORINDA,0.041666667,0.895833333,0.041666667,0.020833333,0
LORNA,0.012121212,0.742424242,0.112121212,0.124242424,0.009090909
LORNE,0,0.886363636,0.090909091,0.022727273,0
LORRAINE,0.048242591,0.871812543,0.05513439,0.022053756,0.00275672
LORRI,0.016666667,0.958333333,0.025,0,0
LORRIE,0.018957346,0.957345972,0.009478673,0.014218009,0
LORY,0.054054054,0.891891892,0,0.027027027,0.027027027
LOTTIE,0,0.666666667,0.3,0,0.033333333
LOU,0.014634146,0.907317073,0.034146341,0.03902439,0.004878049
LOUANN,0.013513514,0.972972973,0,0.013513514,0
LOUANNE,0,1,0,0,0
LOUELLA,0.028571429,0.571428571,0.171428571,0.228571429,0
LOUIE,0.304347826,0.52173913,0.043478261,0.104347826,0.026086957
LOUIS,0.079377432,0.840077821,0.052529183,0.024902724,0.00311284
LOUISA,0,0.752808989,0.04494382,0.202247191,0
LOUISE,0.019493177,0.890838207,0.064327485,0.020467836,0.004873294
LOURDES,0.619791667,0.205729167,0.015625,0.15625,0.002604167
LOWELL,0,0.970833333,0.020833333,0.008333333,0
LOYD,0,0.960784314,0.019607843,0.019607843,0
LU,0,0.518518519,0,0.481481481,0
LUAN,0.026315789,0.394736842,0,0.578947368,0
LUANA,0.083333333,0.833333333,0,0.083333333,0
LUANN,0.009708738,0.980582524,0,0.009708738,0
LUANNE,0.007352941,0.970588235,0,0.022058824,0
LUC,0,0.605263158,0.105263158,0.289473684,0
LUCA,0.066666667,0.933333333,0,0,0
LUCAS,0.076576577,0.903153153,0.002252252,0.015765766,0.002252252
LUCIA,0.436578171,0.466076696,0.02359882,0.073746313,0
LUCIAN,0,0.941176471,0,0.058823529,0
LUCIANA,0.214285714,0.666666667,0.047619048,0.071428571,0
LUCIANO,0.542553191,0.393617021,0,0.053191489,0.010638298
LUCIE,0.023255814,0.837209302,0.069767442,0.069767442,0
LUCIEN,0.023809524,0.857142857,0.071428571,0.047619048,0
LUCILA,0.825396825,0.063492063,0,0.111111111,0
LUCILLE,0.069414317,0.815618221,0.093275488,0.019522777,0.002169197
LUCINDA,0.032679739,0.895424837,0.045751634,0.022875817,0.003267974
LUCIO,0.8375,0.1375,0,0.025,0
LUCRETIA,0.024390244,0.780487805,0.195121951,0,0
LUCY,0.152941176,0.68907563,0.053781513,0.097478992,0.006722689
LUCYNA,0,1,0,0,0
LUDMILA,0.03030303,0.96969697,0,0,0
LUIGI,0.031914894,0.968085106,0,0,0
LUIS,0.873980726,0.110081542,0.001111935,0.014455152,0.000370645
LUISA,0.586666667,0.306666667,0.026666667,0.08,0
LUIZ,0.484848485,0.484848485,0,0,0.03030303
LUKAS,0,1,0,0,0
LUKASZ,0,1,0,0,0
LUKE,0.008928571,0.94047619,0.005952381,0.041666667,0.00297619
LULA,0.02739726,0.452054795,0.520547945,0,0
LUPE,0.789915966,0.210084034,0,0,0
LUTHER,0.006849315,0.698630137,0.294520548,0,0
LUZ,0.824662813,0.098265896,0.001926782,0.073217726,0.001926782
LY,0,0.018867925,0,0.981132075,0
LYDIA,0.200873362,0.65356623,0.069868996,0.074235808,0.001455604
LYLE,0.007936508,0.965608466,0.007936508,0.015873016,0.002645503
LYMAN,0,0.954545455,0.045454545,0,0
LYN,0,0.945736434,0,0.046511628,0.007751938
LYNDA,0.016617791,0.930596285,0.032258065,0.015640274,0.004887586
LYNDON,0.018867925,0.698113208,0.132075472,0.150943396,0
LYNDSAY,0.022222222,0.977777778,0,0,0
LYNDSEY,0.022222222,0.933333333,0.022222222,0,0.022222222
LYNETTE,0.021778584,0.871143376,0.072595281,0.034482759,0
LYNN,0.009312517,0.944124897,0.016159956,0.028211449,0.00219118
LYNNE,0.006820119,0.967604433,0.013640239,0.011082694,0.000852515
LYNNETTE,0.028248588,0.88700565,0.04519774,0.028248588,0.011299435
LYUBOV,0.017241379,0.982758621,0,0,0
LYUDMILA,0.02173913,0.97826087,0,0,0
MA,0.25,0.083333333,0,0.666666667,0
MABEL,0.223880597,0.388059701,0.194029851,0.194029851,0
MABLE,0,0.236842105,0.605263158,0.157894737,0
MAC,0.029411765,0.735294118,0.147058824,0.088235294,0
MACIEJ,0,1,0,0,0
MACK,0.020408163,0.714285714,0.234693878,0.020408163,0.010204082
MACKENZIE,0.017241379,0.948275862,0.017241379,0,0.017241379
MADELEINE,0.02,0.86,0.03,0.08,0.01
MADELINE,0.058823529,0.85620915,0.055555556,0.022875817,0.006535948
MADELYN,0.065420561,0.841121495,0.028037383,0.056074766,0.009345794
MADHAVI,0,0.113636364,0,0.863636364,0.022727273
MADHU,0,0.166666667,0,0.816666667,0.016666667
MADONNA,0.025,0.8875,0.025,0.05,0.0125
MAE,0.008403361,0.445378151,0.369747899,0.176470588,0
MAGALY,0.848484848,0.151515152,0,0,0
MAGDA,0.405797101,0.565217391,0,0.028985507,0
MAGDALENA,0.461538462,0.461538462,0.004273504,0.068376068,0.004273504
MAGDY,0,0.783783784,0,0.216216216,0
MAGGIE,0.058823529,0.642533937,0.081447964,0.21719457,0
MAHA,0,0.888888889,0,0.111111111,0
MAHENDRA,0,0.2,0,0.783333333,0.016666667
MAHER,0.025,0.85,0,0.1,0.025
MAHESH,0,0.171428571,0.028571429,0.79047619,0.00952381
MAHMOOD,0,0.615384615,0,0.365384615,0.019230769
MAHMOUD,0.0125,0.8,0.0375,0.15,0
MAI,0.005464481,0.092896175,0,0.885245902,0.016393443
MAIA,0.029411765,0.852941176,0.058823529,0.058823529,0
MAJID,0,0.706896552,0,0.275862069,0.017241379
MAJOR,0.027777778,0.5,0.361111111,0.111111111,0
MAKSIM,0,1,0,0,0
MALCOLM,0,0.860544218,0.12244898,0.017006803,0
MALGORZATA,0,1,0,0,0
MALIA,0.023809524,0.952380952,0,0,0.023809524
MALIK,0.028571429,0.4,0.342857143,0.228571429,0
MALINDA,0,0.867132867,0.125874126,0.006993007,0
MALISSA,0.037735849,0.924528302,0.037735849,0,0
MALLORY,0.023255814,0.906976744,0.058139535,0.011627907,0
MAMIE,0,0.357142857,0.571428571,0.071428571,0
MAMTA,0,0.225806452,0,0.774193548,0
MAN,0,0.035714286,0,0.964285714,0
MANDEEP,0,0.461538462,0,0.538461538,0
MANDI,0.023809524,0.976190476,0,0,0
MANDY,0.026392962,0.894428152,0.005865103,0.070381232,0.002932551
MANFRED,0.018867925,0.924528302,0.037735849,0,0.018867925
