,ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
48,36027,Barbour County,AL,1005,H1
49,36072,Barbour County,AL,1005,H1
50,35035,Bibb County,AL,1007,H1
51,35034,Bibb County,AL,1007,H1
52,36750,Bibb County,AL,1007,H1
53,35115,Bibb County,AL,1007,H1
54,35188,Bibb County,AL,1007,H1
55,36793,Bibb County,AL,1007,H1
56,35074,Bibb County,AL,1007,H1
57,35042,Bibb County,AL,1007,H1
58,35111,Bibb County,AL,1007,H1
59,35184,Bibb County,AL,1007,H1
60,36792,Bibb County,AL,1007,H1
61,35456,Bibb County,AL,1007,H1
62,35031,Blount County,AL,1009,H1
63,35121,Blount County,AL,1009,H1
64,35063,Blount County,AL,1009,H1
65,35016,Blount County,AL,1009,H1
66,35079,Blount County,AL,1009,H1
67,35097,Blount County,AL,1009,H1
68,35133,Blount County,AL,1009,H1
69,35957,Blount County,AL,1009,H1
70,35126,Blount County,AL,1009,H1
71,35049,Blount County,AL,1009,H1
72,35172,Blount County,AL,1009,H1
73,35952,Blount County,AL,1009,H1
74,35180,Blount County,AL,1009,H1
75,35146,Blount County,AL,1009,H1
76,35976,Blount County,AL,1009,H1
77,35980,Blount County,AL,1009,H1
78,35013,Blount County,AL,1009,H1
79,36830,Bullock County,AL,1011,H1
80,36031,Bullock County,AL,1011,H1
81,36089,Bullock County,AL,1011,H1
82,36029,Bullock County,AL,1011,H1
83,36081,Bullock County,AL,1011,H1
84,36860,Bullock County,AL,1011,H1
85,36053,Bullock County,AL,1011,H1
86,36005,Bullock County,AL,1011,H1
87,36052,Bullock County,AL,1011,H1
88,36037,Butler County,AL,1013,H1
89,36033,Butler County,AL,1013,H1
90,36032,Butler County,AL,1013,H1
91,36456,Butler County,AL,1013,H1
92,36474,Butler County,AL,1013,H1
93,36030,Butler County,AL,1013,H1
94,36042,Butler County,AL,1013,H1
95,36071,Butler County,AL,1013,H1
96,36015,Butler County,AL,1013,H1
97,36206,Calhoun County,AL,1015,H1
98,36204,Calhoun County,AL,1015,H1
99,35096,Calhoun County,AL,1015,H1
100,36279,Calhoun County,AL,1015,H1
101,36205,Calhoun County,AL,1015,H1
102,36260,Calhoun County,AL,1015,H1
103,36271,Calhoun County,AL,1015,H1
104,36272,Calhoun County,AL,1015,H1
105,36201,Calhoun County,AL,1015,H1
106,36203,Calhoun County,AL,1015,H1
107,36207,Calhoun County,AL,1015,H1
108,36265,Calhoun County,AL,1015,H1
109,36202,Calhoun County,AL,1015,H1
110,36257,Calhoun County,AL,1015,H1
111,36253,Calhoun County,AL,1015,H1
112,36254,Calhoun County,AL,1015,H1
113,35905,Calhoun County,AL,1015,H1
114,36250,Calhoun County,AL,1015,H1
115,36277,Calhoun County,AL,1015,H1
116,36852,Chambers County,AL,1017,H1
117,36855,Chambers County,AL,1017,H1
118,36879,Chambers County,AL,1017,H1
119,36274,Chambers County,AL,1017,H1
120,36862,Chambers County,AL,1017,H1
121,36863,Chambers County,AL,1017,H1
122,36801,Chambers County,AL,1017,H1
123,36854,Chambers County,AL,1017,H1
124,36276,Chambers County,AL,1017,H1
125,36850,Chambers County,AL,1017,H1
126,35973,Cherokee County,AL,1019,H1
127,35959,Cherokee County,AL,1019,H1
128,35901,Cherokee County,AL,1019,H1
129,35984,Cherokee County,AL,1019,H1
130,36272,Cherokee County,AL,1019,H1
131,35967,Cherokee County,AL,1019,H1
132,35961,Cherokee County,AL,1019,H1
133,35903,Cherokee County,AL,1019,H1
134,36275,Cherokee County,AL,1019,H1
135,35960,Cherokee County,AL,1019,H1
136,35983,Cherokee County,AL,1019,H1
137,36006,Chilton County,AL,1021,H1
138,35115,Chilton County,AL,1021,H1
139,35040,Chilton County,AL,1021,H1
140,36790,Chilton County,AL,1021,H1
141,36758,Chilton County,AL,1021,H1
142,36793,Chilton County,AL,1021,H1
143,36750,Chilton County,AL,1021,H1
144,36051,Chilton County,AL,1021,H1
145,35046,Chilton County,AL,1021,H1
146,35045,Chilton County,AL,1021,H1
147,35171,Chilton County,AL,1021,H1
148,36792,Chilton County,AL,1021,H1
149,35085,Chilton County,AL,1021,H1
150,36091,Chilton County,AL,1021,H1
151,36908,Choctaw County,AL,1023,H1
152,36913,Choctaw County,AL,1023,H1
153,36919,Choctaw County,AL,1023,H1
154,36921,Choctaw County,AL,1023,H1
155,36904,Choctaw County,AL,1023,H1
156,36912,Choctaw County,AL,1023,H1
157,36910,Choctaw County,AL,1023,H1
158,36916,Choctaw County,AL,1023,H1
159,36922,Choctaw County,AL,1023,H1
160,36558,Choctaw County,AL,1023,H1
161,36915,Choctaw County,AL,1023,H1
162,36436,Clarke County,AL,1025,H1
163,36751,Clarke County,AL,1025,H1
164,36446,Clarke County,AL,1025,H1
165,36524,Clarke County,AL,1025,H1
166,36784,Clarke County,AL,1025,H1
167,36451,Clarke County,AL,1025,H1
168,36540,Clarke County,AL,1025,H1
169,36482,Clarke County,AL,1025,H1
170,36727,Clarke County,AL,1025,H1
171,36782,Clarke County,AL,1025,H1
172,36545,Clarke County,AL,1025,H1
173,36251,Clay County,AL,1027,H1
174,36267,Clay County,AL,1027,H1
175,35082,Clay County,AL,1027,H1
176,35160,Clay County,AL,1027,H1
177,35072,Clay County,AL,1027,H1
178,35089,Clay County,AL,1027,H1
179,36266,Clay County,AL,1027,H1
180,36255,Clay County,AL,1027,H1
181,36256,Clay County,AL,1027,H1
182,36258,Clay County,AL,1027,H1
183,36276,Clay County,AL,1027,H1
184,36268,Clay County,AL,1027,H1
185,36273,Cleburne County,AL,1029,H1
186,36269,Cleburne County,AL,1029,H1
187,36207,Cleburne County,AL,1029,H1
188,36268,Cleburne County,AL,1029,H1
189,36258,Cleburne County,AL,1029,H1
190,36262,Cleburne County,AL,1029,H1
191,36261,Cleburne County,AL,1029,H1
192,36264,Cleburne County,AL,1029,H1
193,36272,Cleburne County,AL,1029,H1
194,36322,Coffee County,AL,1031,H1
195,36453,Coffee County,AL,1031,H1
196,36079,Coffee County,AL,1031,H1
197,36351,Coffee County,AL,1031,H1
198,36477,Coffee County,AL,1031,H1
199,36346,Coffee County,AL,1031,H1
200,36311,Coffee County,AL,1031,H1
201,36010,Coffee County,AL,1031,H1
202,36318,Coffee County,AL,1031,H1
203,36034,Coffee County,AL,1031,H1
204,36316,Coffee County,AL,1031,H1
205,36009,Coffee County,AL,1031,H1
206,36330,Coffee County,AL,1031,H1
207,36323,Coffee County,AL,1031,H1
208,36467,Coffee County,AL,1031,H1
209,36360,Coffee County,AL,1031,H1
210,35616,Colbert County,AL,1033,H1
211,35654,Colbert County,AL,1033,H1
212,35646,Colbert County,AL,1033,H1
213,35653,Colbert County,AL,1033,H1
214,35582,Colbert County,AL,1033,H1
215,35674,Colbert County,AL,1033,H1
216,35661,Colbert County,AL,1033,H1
217,35672,Colbert County,AL,1033,H1
218,35660,Colbert County,AL,1033,H1
219,36471,Conecuh County,AL,1035,H1
220,36330,Conecuh County,AL,1035,H1
221,36426,Conecuh County,AL,1035,H1
222,36454,Conecuh County,AL,1035,H1
223,36460,Conecuh County,AL,1035,H1
224,36401,Conecuh County,AL,1035,H1
225,36442,Conecuh County,AL,1035,H1
226,36473,Conecuh County,AL,1035,H1
227,36502,Conecuh County,AL,1035,H1
228,36475,Conecuh County,AL,1035,H1
229,36456,Conecuh County,AL,1035,H1
230,36432,Conecuh County,AL,1035,H1
231,36474,Conecuh County,AL,1035,H1
232,36421,Conecuh County,AL,1035,H1
233,36033,Conecuh County,AL,1035,H1
234,35151,Coosa County,AL,1037,H1
235,35150,Coosa County,AL,1037,H1
236,36026,Coosa County,AL,1037,H1
237,36080,Coosa County,AL,1037,H1
238,35046,Coosa County,AL,1037,H1
239,35089,Coosa County,AL,1037,H1
240,35136,Coosa County,AL,1037,H1
241,35072,Coosa County,AL,1037,H1
242,35010,Coosa County,AL,1037,H1
243,35183,Coosa County,AL,1037,H1
244,36420,Covington County,AL,1039,H1
245,36421,Covington County,AL,1039,H1
246,36453,Covington County,AL,1039,H1
247,36483,Covington County,AL,1039,H1
248,36455,Covington County,AL,1039,H1
249,36476,Covington County,AL,1039,H1
250,36467,Covington County,AL,1039,H1
251,36474,Covington County,AL,1039,H1
252,36038,Covington County,AL,1039,H1
253,36401,Covington County,AL,1039,H1
254,36028,Covington County,AL,1039,H1
255,36477,Covington County,AL,1039,H1
256,36442,Covington County,AL,1039,H1
257,36456,Covington County,AL,1039,H1
258,36037,Crenshaw County,AL,1041,H1
259,36035,Crenshaw County,AL,1041,H1
260,36009,Crenshaw County,AL,1041,H1
261,36071,Crenshaw County,AL,1041,H1
262,36049,Crenshaw County,AL,1041,H1
263,36028,Crenshaw County,AL,1041,H1
264,36036,Crenshaw County,AL,1041,H1
265,36041,Crenshaw County,AL,1041,H1
266,36034,Crenshaw County,AL,1041,H1
267,36046,Crenshaw County,AL,1041,H1
268,36042,Crenshaw County,AL,1041,H1
269,36467,Crenshaw County,AL,1041,H1
270,36323,Crenshaw County,AL,1041,H1
271,35057,Cullman County,AL,1043,H1
272,35087,Cullman County,AL,1043,H1
273,35033,Cullman County,AL,1043,H1
274,35058,Cullman County,AL,1043,H1
275,35056,Cullman County,AL,1043,H1
276,35179,Cullman County,AL,1043,H1
277,35622,Cullman County,AL,1043,H1
278,35053,Cullman County,AL,1043,H1
279,35098,Cullman County,AL,1043,H1
280,35619,Cullman County,AL,1043,H1
281,35541,Cullman County,AL,1043,H1
282,35670,Cullman County,AL,1043,H1
283,35077,Cullman County,AL,1043,H1
284,35016,Cullman County,AL,1043,H1
285,35621,Cullman County,AL,1043,H1
286,35540,Cullman County,AL,1043,H1
287,35976,Cullman County,AL,1043,H1
288,35083,Cullman County,AL,1043,H1
289,35070,Cullman County,AL,1043,H1
290,35019,Cullman County,AL,1043,H1
291,35055,Cullman County,AL,1043,H1
292,36322,Dale County,AL,1045,H1
293,36303,Dale County,AL,1045,H1
294,36353,Dale County,AL,1045,H1
295,36345,Dale County,AL,1045,H1
296,36374,Dale County,AL,1045,H1
297,36360,Dale County,AL,1045,H1
298,36317,Dale County,AL,1045,H1
299,36371,Dale County,AL,1045,H1
300,36350,Dale County,AL,1045,H1
301,36362,Dale County,AL,1045,H1
302,36311,Dale County,AL,1045,H1
303,36330,Dale County,AL,1045,H1
304,36361,Dale County,AL,1045,H1
305,36352,Dale County,AL,1045,H1
306,36761,Dallas County,AL,1047,H1
307,36767,Dallas County,AL,1047,H1
308,36701,Dallas County,AL,1047,H1
309,36773,Dallas County,AL,1047,H1
310,36758,Dallas County,AL,1047,H1
311,36785,Dallas County,AL,1047,H1
312,36759,Dallas County,AL,1047,H1
313,36749,Dallas County,AL,1047,H1
314,36703,Dallas County,AL,1047,H1
315,36775,Dallas County,AL,1047,H1
316,35962,DeKalb County,AL,1049,H1
317,35968,DeKalb County,AL,1049,H1
318,35765,DeKalb County,AL,1049,H1
319,35984,DeKalb County,AL,1049,H1
320,35986,DeKalb County,AL,1049,H1
321,35983,DeKalb County,AL,1049,H1
322,35971,DeKalb County,AL,1049,H1
323,35959,DeKalb County,AL,1049,H1
324,35956,DeKalb County,AL,1049,H1
325,35989,DeKalb County,AL,1049,H1
326,35988,DeKalb County,AL,1049,H1
327,35771,DeKalb County,AL,1049,H1
328,35957,DeKalb County,AL,1049,H1
329,35978,DeKalb County,AL,1049,H1
330,35966,DeKalb County,AL,1049,H1
331,35963,DeKalb County,AL,1049,H1
332,35979,DeKalb County,AL,1049,H1
333,35975,DeKalb County,AL,1049,H1
334,35967,DeKalb County,AL,1049,H1
335,35974,DeKalb County,AL,1049,H1
336,35951,DeKalb County,AL,1049,H1
337,35981,DeKalb County,AL,1049,H1
338,35961,DeKalb County,AL,1049,H1
339,35954,DeKalb County,AL,1049,H1
340,35010,Elmore County,AL,1051,H1
341,36054,Elmore County,AL,1051,H1
342,35136,Elmore County,AL,1051,H1
343,36051,Elmore County,AL,1051,H1
344,36022,Elmore County,AL,1051,H1
345,36066,Elmore County,AL,1051,H1
346,36080,Elmore County,AL,1051,H1
347,36024,Elmore County,AL,1051,H1
348,36026,Elmore County,AL,1051,H1
349,36025,Elmore County,AL,1051,H1
350,36020,Elmore County,AL,1051,H1
351,36067,Elmore County,AL,1051,H1
352,36093,Elmore County,AL,1051,H1
353,36078,Elmore County,AL,1051,H1
354,36092,Elmore County,AL,1051,H1
355,36420,Escambia County,AL,1053,H1
356,36483,Escambia County,AL,1053,H1
357,36543,Escambia County,AL,1053,H1
358,36441,Escambia County,AL,1053,H1
359,36502,Escambia County,AL,1053,H1
360,36562,Escambia County,AL,1053,H1
361,36426,Escambia County,AL,1053,H1
362,36432,Escambia County,AL,1053,H1
363,36475,Escambia County,AL,1053,H1
364,36503,Escambia County,AL,1053,H1
365,35902,Etowah County,AL,1055,H1
366,35905,Etowah County,AL,1055,H1
367,35906,Etowah County,AL,1055,H1
368,35954,Etowah County,AL,1055,H1
369,35956,Etowah County,AL,1055,H1
370,35957,Etowah County,AL,1055,H1
371,35903,Etowah County,AL,1055,H1
372,35972,Etowah County,AL,1055,H1
373,35952,Etowah County,AL,1055,H1
374,36272,Etowah County,AL,1055,H1
375,35990,Etowah County,AL,1055,H1
376,35904,Etowah County,AL,1055,H1
377,35901,Etowah County,AL,1055,H1
378,35121,Etowah County,AL,1055,H1
379,35907,Etowah County,AL,1055,H1
380,35961,Etowah County,AL,1055,H1
381,36271,Etowah County,AL,1055,H1
382,35574,Fayette County,AL,1057,H1
383,35594,Fayette County,AL,1057,H1
384,35545,Fayette County,AL,1057,H1
385,35546,Fayette County,AL,1057,H1
386,35554,Fayette County,AL,1057,H1
387,35555,Fayette County,AL,1057,H1
388,35579,Fayette County,AL,1057,H1
389,35549,Fayette County,AL,1057,H1
390,35563,Fayette County,AL,1057,H1
391,35559,Fayette County,AL,1057,H1
392,35542,Fayette County,AL,1057,H1
393,35616,Franklin County,AL,1059,H1
394,35654,Franklin County,AL,1059,H1
395,35593,Franklin County,AL,1059,H1
396,35585,Franklin County,AL,1059,H1
397,35582,Franklin County,AL,1059,H1
398,35571,Franklin County,AL,1059,H1
399,35565,Franklin County,AL,1059,H1
400,35581,Franklin County,AL,1059,H1
401,35653,Franklin County,AL,1059,H1
402,35674,Franklin County,AL,1059,H1
403,35564,Franklin County,AL,1059,H1
404,36344,Geneva County,AL,1061,H1
405,36313,Geneva County,AL,1061,H1
406,36453,Geneva County,AL,1061,H1
407,36375,Geneva County,AL,1061,H1
408,36318,Geneva County,AL,1061,H1
409,36322,Geneva County,AL,1061,H1
410,36477,Geneva County,AL,1061,H1
411,36340,Geneva County,AL,1061,H1
412,36352,Geneva County,AL,1061,H1
413,36316,Geneva County,AL,1061,H1
414,36301,Geneva County,AL,1061,H1
415,36314,Geneva County,AL,1061,H1
416,36442,Geneva County,AL,1061,H1
417,36305,Geneva County,AL,1061,H1
418,36349,Geneva County,AL,1061,H1
419,35462,Greene County,AL,1063,H1
420,35491,Greene County,AL,1063,H1
421,35469,Greene County,AL,1063,H1
422,35480,Greene County,AL,1063,H1
423,35443,Greene County,AL,1063,H1
424,35464,Greene County,AL,1063,H1
425,36740,Greene County,AL,1063,H1
426,35463,Greene County,AL,1063,H1
427,35448,Greene County,AL,1063,H1
428,35441,Hale County,AL,1065,H1
429,36765,Hale County,AL,1065,H1
430,36738,Hale County,AL,1065,H1
431,36744,Hale County,AL,1065,H1
432,36786,Hale County,AL,1065,H1
433,36756,Hale County,AL,1065,H1
434,35474,Hale County,AL,1065,H1
435,36776,Hale County,AL,1065,H1
436,36742,Hale County,AL,1065,H1
437,36303,Henry County,AL,1067,H1
438,36319,Henry County,AL,1067,H1
439,36350,Henry County,AL,1067,H1
440,36353,Henry County,AL,1067,H1
441,36345,Henry County,AL,1067,H1
442,36373,Henry County,AL,1067,H1
443,36310,Henry County,AL,1067,H1
444,36317,Henry County,AL,1067,H1
445,36305,Houston County,AL,1069,H1
446,36345,Houston County,AL,1069,H1
447,36321,Houston County,AL,1069,H1
448,36301,Houston County,AL,1069,H1
449,36352,Houston County,AL,1069,H1
450,36343,Houston County,AL,1069,H1
451,36319,Houston County,AL,1069,H1
452,36320,Houston County,AL,1069,H1
453,36350,Houston County,AL,1069,H1
454,36303,Houston County,AL,1069,H1
455,36312,Houston County,AL,1069,H1
456,36370,Houston County,AL,1069,H1
457,36302,Houston County,AL,1069,H1
458,36376,Houston County,AL,1069,H1
459,36375,Houston County,AL,1069,H1
460,35772,Jackson County,AL,1071,H1
461,35744,Jackson County,AL,1071,H1
462,35978,Jackson County,AL,1071,H1
463,35769,Jackson County,AL,1071,H1
464,35748,Jackson County,AL,1071,H1
465,35768,Jackson County,AL,1071,H1
466,35752,Jackson County,AL,1071,H1
467,35771,Jackson County,AL,1071,H1
468,35766,Jackson County,AL,1071,H1
469,35765,Jackson County,AL,1071,H1
470,35776,Jackson County,AL,1071,H1
471,35755,Jackson County,AL,1071,H1
472,35764,Jackson County,AL,1071,H1
473,35966,Jackson County,AL,1071,H1
474,35958,Jackson County,AL,1071,H1
475,35746,Jackson County,AL,1071,H1
476,35979,Jackson County,AL,1071,H1
477,35774,Jackson County,AL,1071,H1
478,35740,Jackson County,AL,1071,H1
479,35745,Jackson County,AL,1071,H1
480,35751,Jackson County,AL,1071,H1
481,35212,Jefferson County,AL,1073,H1
482,35215,Jefferson County,AL,1073,H1
483,35173,Jefferson County,AL,1073,H1
484,35205,Jefferson County,AL,1073,H1
485,35180,Jefferson County,AL,1073,H1
486,35232,Jefferson County,AL,1073,H1
487,35218,Jefferson County,AL,1073,H1
488,35444,Jefferson County,AL,1073,H1
489,35048,Jefferson County,AL,1073,H1
490,35254,Jefferson County,AL,1073,H1
491,35181,Jefferson County,AL,1073,H1
492,35079,Jefferson County,AL,1073,H1
493,35294,Jefferson County,AL,1073,H1
494,35133,Jefferson County,AL,1073,H1
495,35130,Jefferson County,AL,1073,H1
496,35208,Jefferson County,AL,1073,H1
497,35224,Jefferson County,AL,1073,H1
498,35202,Jefferson County,AL,1073,H1
499,35209,Jefferson County,AL,1073,H1
500,35235,Jefferson County,AL,1073,H1
501,35091,Jefferson County,AL,1073,H1
502,35172,Jefferson County,AL,1073,H1
503,35126,Jefferson County,AL,1073,H1
504,35061,Jefferson County,AL,1073,H1
505,35207,Jefferson County,AL,1073,H1
506,35211,Jefferson County,AL,1073,H1
507,35217,Jefferson County,AL,1073,H1
508,35219,Jefferson County,AL,1073,H1
509,35116,Jefferson County,AL,1073,H1
510,35062,Jefferson County,AL,1073,H1
511,35127,Jefferson County,AL,1073,H1
512,35210,Jefferson County,AL,1073,H1
513,35214,Jefferson County,AL,1073,H1
514,35222,Jefferson County,AL,1073,H1
515,35006,Jefferson County,AL,1073,H1
516,35023,Jefferson County,AL,1073,H1
517,35022,Jefferson County,AL,1073,H1
518,35243,Jefferson County,AL,1073,H1
519,35244,Jefferson County,AL,1073,H1
520,35236,Jefferson County,AL,1073,H1
521,35270,Jefferson County,AL,1073,H1
522,35295,Jefferson County,AL,1073,H1
523,35119,Jefferson County,AL,1073,H1
524,35015,Jefferson County,AL,1073,H1
525,35139,Jefferson County,AL,1073,H1
526,35111,Jefferson County,AL,1073,H1
527,35073,Jefferson County,AL,1073,H1
528,35117,Jefferson County,AL,1073,H1
529,35216,Jefferson County,AL,1073,H1
530,35223,Jefferson County,AL,1073,H1
531,35020,Jefferson County,AL,1073,H1
532,35242,Jefferson County,AL,1073,H1
533,35234,Jefferson County,AL,1073,H1
534,35231,Jefferson County,AL,1073,H1
535,35220,Jefferson County,AL,1073,H1
536,35229,Jefferson County,AL,1073,H1
537,35123,Jefferson County,AL,1073,H1
538,35060,Jefferson County,AL,1073,H1
539,35293,Jefferson County,AL,1073,H1
540,35206,Jefferson County,AL,1073,H1
541,35226,Jefferson County,AL,1073,H1
542,35213,Jefferson County,AL,1073,H1
543,35228,Jefferson County,AL,1073,H1
544,35063,Jefferson County,AL,1073,H1
545,35255,Jefferson County,AL,1073,H1
546,35146,Jefferson County,AL,1073,H1
547,35249,Jefferson County,AL,1073,H1
548,35064,Jefferson County,AL,1073,H1
549,35005,Jefferson County,AL,1073,H1
550,35021,Jefferson County,AL,1073,H1
551,35036,Jefferson County,AL,1073,H1
552,35285,Jefferson County,AL,1073,H1
553,35080,Jefferson County,AL,1073,H1
554,35094,Jefferson County,AL,1073,H1
555,35068,Jefferson County,AL,1073,H1
556,35071,Jefferson County,AL,1073,H1
557,35118,Jefferson County,AL,1073,H1
558,35204,Jefferson County,AL,1073,H1
559,35203,Jefferson County,AL,1073,H1
560,35221,Jefferson County,AL,1073,H1
561,35201,Jefferson County,AL,1073,H1
562,35233,Jefferson County,AL,1073,H1
563,35266,Jefferson County,AL,1073,H1
564,35259,Jefferson County,AL,1073,H1
565,35260,Jefferson County,AL,1073,H1
566,35253,Jefferson County,AL,1073,H1
567,35261,Jefferson County,AL,1073,H1
568,35148,Jefferson County,AL,1073,H1
569,35142,Jefferson County,AL,1073,H1
570,35586,Lamar County,AL,1075,H1
571,35574,Lamar County,AL,1075,H1
572,35544,Lamar County,AL,1075,H1
573,35552,Lamar County,AL,1075,H1
574,35576,Lamar County,AL,1075,H1
575,35592,Lamar County,AL,1075,H1
576,35555,Lamar County,AL,1075,H1
577,35570,Lamar County,AL,1075,H1
578,35563,Lamar County,AL,1075,H1
579,35677,Lauderdale County,AL,1077,H1
580,35614,Lauderdale County,AL,1077,H1
581,35617,Lauderdale County,AL,1077,H1
582,35633,Lauderdale County,AL,1077,H1
583,35648,Lauderdale County,AL,1077,H1
584,35630,Lauderdale County,AL,1077,H1
585,35634,Lauderdale County,AL,1077,H1
586,35652,Lauderdale County,AL,1077,H1
587,35631,Lauderdale County,AL,1077,H1
588,35645,Lauderdale County,AL,1077,H1
589,35610,Lauderdale County,AL,1077,H1
590,35632,Lauderdale County,AL,1077,H1
591,35650,Lawrence County,AL,1079,H1
592,35672,Lawrence County,AL,1079,H1
593,35643,Lawrence County,AL,1079,H1
594,35651,Lawrence County,AL,1079,H1
595,35603,Lawrence County,AL,1079,H1
596,35618,Lawrence County,AL,1079,H1
597,35654,Lawrence County,AL,1079,H1
598,35673,Lawrence County,AL,1079,H1
599,35619,Lawrence County,AL,1079,H1
600,36865,Lee County,AL,1081,H1
601,36832,Lee County,AL,1081,H1
602,36804,Lee County,AL,1081,H1
603,36849,Lee County,AL,1081,H1
604,36867,Lee County,AL,1081,H1
605,36801,Lee County,AL,1081,H1
606,36831,Lee County,AL,1081,H1
607,36877,Lee County,AL,1081,H1
608,36852,Lee County,AL,1081,H1
609,36830,Lee County,AL,1081,H1
610,36854,Lee County,AL,1081,H1
611,36874,Lee County,AL,1081,H1
612,36866,Lee County,AL,1081,H1
613,36870,Lee County,AL,1081,H1
614,36850,Lee County,AL,1081,H1
615,36879,Lee County,AL,1081,H1
616,36803,Lee County,AL,1081,H1
617,35611,Limestone County,AL,1083,H1
618,35612,Limestone County,AL,1083,H1
619,35739,Limestone County,AL,1083,H1
620,35749,Limestone County,AL,1083,H1
621,35613,Limestone County,AL,1083,H1
622,35610,Limestone County,AL,1083,H1
623,35652,Limestone County,AL,1083,H1
624,35649,Limestone County,AL,1083,H1
625,35757,Limestone County,AL,1083,H1
626,35671,Limestone County,AL,1083,H1
627,35620,Limestone County,AL,1083,H1
628,35742,Limestone County,AL,1083,H1
629,35773,Limestone County,AL,1083,H1
630,35647,Limestone County,AL,1083,H1
631,35615,Limestone County,AL,1083,H1
632,35756,Limestone County,AL,1083,H1
633,35614,Limestone County,AL,1083,H1
634,36047,Lowndes County,AL,1085,H1
635,36775,Lowndes County,AL,1085,H1
636,36040,Lowndes County,AL,1085,H1
637,36761,Lowndes County,AL,1085,H1
638,36752,Lowndes County,AL,1085,H1
639,36785,Lowndes County,AL,1085,H1
640,36043,Lowndes County,AL,1085,H1
641,36032,Lowndes County,AL,1085,H1
642,36701,Lowndes County,AL,1085,H1
643,36830,Macon County,AL,1087,H1
644,36866,Macon County,AL,1087,H1
645,36832,Macon County,AL,1087,H1
646,36013,Macon County,AL,1087,H1
647,36075,Macon County,AL,1087,H1
648,36083,Macon County,AL,1087,H1
649,36088,Macon County,AL,1087,H1
650,36804,Macon County,AL,1087,H1
651,36078,Macon County,AL,1087,H1
652,36029,Macon County,AL,1087,H1
653,36039,Macon County,AL,1087,H1
654,36089,Macon County,AL,1087,H1
655,36860,Macon County,AL,1087,H1
656,36879,Macon County,AL,1087,H1
657,36087,Macon County,AL,1087,H1
658,35806,Madison County,AL,1089,H1
659,35807,Madison County,AL,1089,H1
660,35897,Madison County,AL,1089,H1
661,35750,Madison County,AL,1089,H1
662,35814,Madison County,AL,1089,H1
663,35899,Madison County,AL,1089,H1
664,35893,Madison County,AL,1089,H1
665,35810,Madison County,AL,1089,H1
666,35805,Madison County,AL,1089,H1
667,35748,Madison County,AL,1089,H1
668,35756,Madison County,AL,1089,H1
669,35815,Madison County,AL,1089,H1
670,35767,Madison County,AL,1089,H1
671,35763,Madison County,AL,1089,H1
672,35758,Madison County,AL,1089,H1
673,35803,Madison County,AL,1089,H1
674,35808,Madison County,AL,1089,H1
675,35773,Madison County,AL,1089,H1
676,35804,Madison County,AL,1089,H1
677,35760,Madison County,AL,1089,H1
678,35762,Madison County,AL,1089,H1
679,35895,Madison County,AL,1089,H1
680,35898,Madison County,AL,1089,H1
681,35741,Madison County,AL,1089,H1
682,35759,Madison County,AL,1089,H1
683,35739,Madison County,AL,1089,H1
684,35776,Madison County,AL,1089,H1
685,35812,Madison County,AL,1089,H1
686,35802,Madison County,AL,1089,H1
687,35816,Madison County,AL,1089,H1
688,35757,Madison County,AL,1089,H1
689,35813,Madison County,AL,1089,H1
690,35809,Madison County,AL,1089,H1
