firstname,f_his,f_whi,f_bla,f_asi,f_ai,f_oth
ADELINE,3.82E-05,1.96E-05,4.46E-05,5.99E-05,0,0.000242072
ADINA,1.09E-05,2.23E-05,2.68E-05,5.99E-06,0,0
ADMIR,0,6.84E-06,0,0,0,0
ADNAN,0,2.01E-05,8.93E-06,0.000119806,0.000225836,0
ADOLFO,0.000851747,8.21E-06,8.93E-06,2.40E-05,0,0
ADOLPH,2.73E-05,1.46E-05,6.25E-05,0,0,0
ADRIA,2.18E-05,1.64E-05,0,0,0,0
ADRIAN,0.001714414,0.000194278,0.00085725,0.000137777,0.000677507,0.000726216
ADRIANA,0.001665274,8.03E-05,3.57E-05,1.80E-05,0.000225836,0
ADRIANE,2.18E-05,2.01E-05,8.04E-05,5.99E-06,0,0
ADRIANNA,7.10E-05,6.84E-06,8.93E-06,5.99E-06,0,0
ADRIANNE,1.64E-05,3.88E-05,5.36E-05,5.99E-06,0,0
ADRIENNE,7.10E-05,0.0002449,0.000732234,5.99E-05,0.000225836,0.000242072
AFSHIN,0,1.41E-05,0,3.00E-05,0,0.000242072
AGATA,5.46E-06,2.14E-05,0,0,0,0
AGATHA,5.46E-06,1.00E-05,5.36E-05,3.59E-05,0.000225836,0
AGNES,6.01E-05,0.000108997,0.000339328,0.000371398,0.000451671,0
AGNIESZKA,1.09E-05,4.56E-05,8.93E-06,5.99E-06,0,0
AGUSTIN,0.001173882,6.38E-06,8.93E-06,5.39E-05,0,0
AHMAD,5.46E-06,5.02E-05,5.36E-05,0.000257582,0.000451671,0.000242072
AHMED,1.09E-05,5.24E-05,0.000133945,0.000239611,0,0.000968289
AHMET,1.09E-05,1.32E-05,0,5.99E-06,0,0
AI,5.46E-06,1.37E-06,0,0.000161738,0,0
AIDA,0.000535072,3.69E-05,1.79E-05,0.000197679,0,0
AILEEN,9.28E-05,5.56E-05,3.57E-05,0.000251592,0,0.000242072
AIMEE,9.28E-05,0.000260406,1.79E-05,0.000113815,0.000225836,0.000242072
AISHA,2.18E-05,8.21E-06,0.000383977,4.19E-05,0,0
AJAY,5.46E-06,1.78E-05,8.93E-06,0.000652941,0.000677507,0.000242072
AJIT,5.46E-06,6.38E-06,0,0.000317485,0,0
AKBAR,0,6.84E-06,0,9.58E-05,0,0
AKIKO,5.46E-06,4.10E-06,8.93E-06,0.000131786,0,0
AL,2.73E-05,3.10E-05,8.93E-05,4.79E-05,0.000225836,0
ALAIN,8.74E-05,3.47E-05,0.000107156,5.39E-05,0,0.000242072
ALAINA,5.46E-06,2.37E-05,8.93E-06,5.99E-06,0,0
ALAN,0.000393114,0.002022138,0.000455414,0.001377765,0.001129178,0.000726216
ALANA,4.37E-05,5.93E-05,0.000116086,1.20E-05,0,0
ALANE,0,1.00E-05,0,0,0,0
ALANNA,0,2.33E-05,0,5.99E-06,0.000225836,0
ALASTAIR,0,8.21E-06,0,0,0,0
ALBA,0.000507772,8.67E-06,0,5.99E-06,0,0
ALBERT,0.001261241,0.000830472,0.001616273,0.001096222,0.001129178,0.000968289
ALBERTA,5.46E-05,3.79E-05,0.000321469,1.80E-05,0,0
ALBERTO,0.002992034,3.42E-05,2.68E-05,0.000275553,0.000451671,0
ALDEN,1.64E-05,1.37E-05,8.93E-06,2.40E-05,0,0
ALDO,0.000365814,1.96E-05,0,2.40E-05,0,0
ALEC,0,4.47E-05,1.79E-05,5.39E-05,0,0
ALECIA,1.09E-05,3.19E-05,0.000133945,0,0.000451671,0
ALEJANDRA,0.000879046,7.30E-06,0,3.59E-05,0,0
ALEJANDRO,0.004040338,2.60E-05,8.93E-06,0.000137777,0,0
ALEKSANDAR,0,1.37E-05,0,0,0,0
ALEKSANDER,0,1.46E-05,0,0,0,0.000242072
ALEKSANDR,5.46E-06,8.30E-05,0,1.20E-05,0,0
ALEKSANDRA,0,2.14E-05,0,0,0,0
ALEKSEY,0,2.33E-05,0,1.20E-05,0,0
ALEN,5.46E-06,1.28E-05,0,1.20E-05,0,0
ALENA,5.46E-06,2.28E-05,4.46E-05,1.20E-05,0,0
ALENE,0,1.23E-05,1.79E-05,5.99E-06,0,0.000242072
ALESHA,5.46E-06,1.32E-05,5.36E-05,0,0,0
ALESIA,1.64E-05,1.37E-05,0.000142875,0,0,0
ALESSANDRA,1.64E-05,1.41E-05,0,0,0,0
ALESSANDRO,1.09E-05,1.87E-05,8.93E-06,1.20E-05,0,0
ALETA,5.46E-06,2.01E-05,3.57E-05,0,0,0
ALEX,0.001419578,0.000402695,0.000383977,0.001066271,0.000677507,0.000968289
ALEXA,1.09E-05,3.37E-05,1.79E-05,0,0,0
ALEXANDER,0.001064684,0.000835489,0.000553641,0.000892552,0.000677507,0.001452433
ALEXANDR,0,8.21E-06,0,0,0,0
ALEXANDRA,0.000294835,0.000196559,5.36E-05,5.99E-05,0.000225836,0.000484144
ALEXANDRE,4.37E-05,3.06E-05,1.79E-05,1.80E-05,0,0
ALEXANDRIA,3.82E-05,3.56E-05,1.79E-05,2.40E-05,0.000225836,0
ALEXANDRU,1.09E-05,1.32E-05,0,0,0,0
ALEXEI,0,1.37E-05,0,0,0,0
ALEXEY,0,9.58E-06,0,0,0,0
ALEXIA,0,1.50E-05,3.57E-05,5.99E-06,0,0
ALEXIS,0.000349435,0.000160075,0.000205383,7.79E-05,0,0.000242072
ALF,0,6.84E-06,0,0,0,0
ALFONSO,0.002058388,2.87E-05,0.000169664,0.000131786,0,0.000242072
ALFRED,0.000687949,0.000427777,0.001000125,0.000347436,0.000225836,0.000484144
ALFREDA,5.46E-06,3.65E-06,0.000223242,5.99E-06,0,0
ALFREDO,0.003024793,3.37E-05,4.46E-05,0.000323475,0,0
ALI,5.46E-05,0.000170564,0.000196453,0.000599028,0.001129178,0.000726216
ALIA,1.09E-05,1.00E-05,8.93E-06,3.00E-05,0,0
ALICE,0.000513232,0.000702777,0.001080492,0.000940475,0.000903342,0.001452433
ALICIA,0.002287705,0.000522636,0.000910828,0.000281543,0.000451671,0.000726216
ALICJA,0,1.41E-05,0,0,0,0
ALIDA,4.37E-05,1.14E-05,8.93E-06,0,0,0
ALINA,0.000158338,4.56E-05,2.68E-05,3.00E-05,0,0
ALINE,5.46E-06,2.14E-05,5.36E-05,2.40E-05,0,0
ALIREZA,5.46E-06,3.10E-05,0,2.40E-05,0,0
ALISA,3.82E-05,0.000133623,0.000223242,7.79E-05,0,0
ALISHA,3.82E-05,8.25E-05,0.000196453,5.99E-06,0.000225836,0.000242072
ALISON,6.01E-05,0.000616127,0.000160734,0.000131786,0,0.000242072
ALISSA,1.64E-05,9.76E-05,3.57E-05,1.20E-05,0.000225836,0
ALISTAIR,0,1.19E-05,0,0,0,0
ALIX,1.09E-05,1.28E-05,4.46E-05,5.99E-06,0,0.000242072
ALIZA,1.09E-05,1.23E-05,2.68E-05,0,0.000225836,0
ALKA,0,2.74E-06,0,0.000173718,0.000225836,0
ALLA,5.46E-06,5.70E-05,0,0,0,0
ALLAN,0.000125578,0.000447844,0.000187523,0.000497194,0.000225836,0.000726216
ALLEN,0.000109198,0.000773921,0.000767953,0.000593038,0.000225836,0.002178649
ALLENE,0,1.00E-05,6.25E-05,1.20E-05,0,0
ALLISON,6.01E-05,0.000771641,0.000303609,0.00020367,0,0.000726216
ALLYN,1.64E-05,2.37E-05,1.79E-05,0,0,0
ALLYSON,0,0.000111733,7.14E-05,1.20E-05,0,0
ALMA,0.001872751,8.80E-05,0.000392906,0.000185699,0,0
ALOK,0,3.65E-06,8.93E-06,0.000155747,0.000225836,0
ALON,0,1.37E-05,8.93E-06,1.20E-05,0,0
ALONSO,0.000229316,3.19E-06,8.93E-06,5.99E-06,0,0
ALONZO,8.19E-05,1.28E-05,0.000321469,1.20E-05,0,0
ALPHONSE,5.46E-06,1.87E-05,6.25E-05,0,0,0
ALPHONSO,2.18E-05,3.65E-06,0.000383977,5.99E-06,0,0
ALTA,0,1.96E-05,2.68E-05,5.99E-06,0,0
ALTAGRACIA,0.000212937,1.37E-06,0,5.99E-06,0,0
ALTHEA,1.09E-05,1.46E-05,0.000348258,2.40E-05,0,0
ALTON,5.46E-06,4.29E-05,0.000250031,1.80E-05,0.000225836,0
ALVA,9.83E-05,1.73E-05,9.82E-05,2.40E-05,0,0
ALVARO,0.001294,1.55E-05,0,5.99E-06,0,0
ALVIN,0.000125578,0.000169196,0.001116211,0.000455262,0,0
ALYCE,1.09E-05,4.24E-05,6.25E-05,5.99E-06,0,0
ALYCIA,1.09E-05,2.05E-05,3.57E-05,0,0,0
ALYSE,0,1.14E-05,0,0,0,0
ALYSIA,0,1.50E-05,0,0,0,0
ALYSON,1.09E-05,8.48E-05,2.68E-05,1.20E-05,0,0
ALYSSA,8.19E-05,0.000134536,8.93E-06,5.39E-05,0,0.000242072
AMADO,0.000240236,1.37E-06,0,0.000101835,0,0
AMADOR,0.000152878,9.12E-07,0,3.00E-05,0,0
AMAL,0,1.60E-05,3.57E-05,7.79E-05,0,0
AMALIA,0.000349435,1.73E-05,0,4.79E-05,0.000225836,0
AMANDA,0.000753468,0.001890338,0.000473273,0.000245602,0.00203252,0.002178649
AMAR,5.46E-06,9.12E-06,8.93E-06,0.000125796,0,0
AMARJIT,5.46E-06,3.19E-06,0,0.00022164,0,0
AMBER,0.000158338,0.000674958,0.00027682,7.19E-05,0.000677507,0.000484144
AMELIA,0.000529612,0.00012359,0.000214313,0.000281543,0,0
AMER,0,1.00E-05,0,6.59E-05,0,0
AMI,5.46E-06,4.29E-05,4.46E-05,8.99E-05,0,0
AMIE,1.64E-05,9.30E-05,7.14E-05,3.00E-05,0,0
AMIN,1.64E-05,1.41E-05,3.57E-05,7.79E-05,0.000225836,0
AMINA,0,6.38E-06,7.14E-05,4.79E-05,0,0
AMIR,2.18E-05,7.21E-05,4.46E-05,0.000227631,0.000225836,0.000726216
AMIT,0,2.65E-05,8.93E-06,0.001030329,0.000451671,0
AMITA,0,5.47E-06,0,0.000185699,0.000677507,0
AMOS,4.37E-05,3.06E-05,0.000205383,3.00E-05,0,0
AMPARO,0.000409494,3.19E-06,0,3.00E-05,0,0
AMY,0.000529612,0.004259988,0.000312539,0.001665299,0.003161698,0.002420721
AN,0,1.82E-06,0,0.00064096,0,0
ANA,0.006622878,0.000176948,0.000133945,0.000227631,0,0.000484144
ANABEL,0.000223857,2.74E-06,0,1.20E-05,0,0
ANAND,5.46E-06,1.37E-05,0,0.000611009,0.000903342,0
ANASTASIA,5.46E-06,6.80E-05,3.57E-05,1.20E-05,0,0.000242072
ANATOLIY,0,3.83E-05,0,0,0,0
ANATOLY,0,1.87E-05,0,5.99E-06,0,0
ANCA,0,8.67E-06,0,0,0,0
ANDERS,0,2.37E-05,0,5.99E-06,0,0
ANDERSON,4.91E-05,6.84E-06,0.000142875,4.19E-05,0,0
ANDRA,0,2.78E-05,5.36E-05,0,0.000225836,0
ANDRE,0.000180177,0.000155514,0.001803797,0.000119806,0.000225836,0.000484144
ANDREA,0.000982785,0.001725247,0.001848445,0.00020367,0.00203252,0.000484144
ANDREAS,5.46E-06,7.16E-05,2.68E-05,1.80E-05,0,0
ANDREI,1.09E-05,3.28E-05,1.79E-05,1.20E-05,0,0
ANDRES,0.002205806,2.78E-05,1.79E-05,8.39E-05,0.000225836,0
ANDREW,0.001124743,0.00465265,0.001651992,0.002012735,0.002710027,0.000968289
ANDREY,5.46E-06,5.06E-05,0,1.20E-05,0,0
ANDRIA,1.09E-05,2.19E-05,6.25E-05,1.80E-05,0,0
ANDRIY,0,1.55E-05,0,0,0,0
ANDRZEJ,0,8.07E-05,0,0,0,0
ANDY,0.000191097,0.000133623,8.04E-05,0.001281921,0.000903342,0
ANETA,0,2.23E-05,0,0,0,0
ANGEL,0.003352388,9.17E-05,0.00029468,0.000227631,0.000451671,0
ANGELA,0.001703494,0.002511482,0.004116586,0.000760766,0.002710027,0.003146938
ANGELIA,2.18E-05,3.37E-05,0.000178594,5.99E-06,0,0.000242072
ANGELICA,0.001763553,5.11E-05,1.79E-05,8.99E-05,0.000225836,0
ANGELIKA,0,1.92E-05,0,2.40E-05,0,0
ANGELINA,0.000545992,6.70E-05,8.93E-05,0.000191689,0.000451671,0.000242072
ANGELINE,5.46E-06,3.65E-05,3.57E-05,9.58E-05,0,0
ANGELIQUE,3.82E-05,4.93E-05,0.000187523,1.80E-05,0,0
ANGELITA,0.000185637,6.38E-06,3.57E-05,0.000197679,0,0.000242072
ANGELO,0.000278456,0.000187894,0.000133945,4.19E-05,0.000225836,0
ANGIE,0.000212937,0.000134079,8.93E-05,0.00021565,0,0
ANGUS,0,1.87E-05,0,1.20E-05,0,0
ANH,5.46E-06,3.65E-06,0,0.0010483,0,0
ANI,5.46E-06,1.64E-05,1.79E-05,3.00E-05,0,0
ANIBAL,0.000262076,2.74E-06,0,0,0,0
ANIL,1.09E-05,1.78E-05,1.79E-05,0.001024339,0,0.000242072
ANILA,0,6.38E-06,0,8.99E-05,0.000225836,0
ANISSA,5.46E-06,1.78E-05,7.14E-05,5.99E-06,0,0
ANITA,0.000726169,0.000701865,0.001384102,0.000994387,0.001806685,0.000484144
ANJA,5.46E-06,1.46E-05,1.79E-05,0,0,0
ANJALI,0,5.47E-06,0,0.000233621,0,0
ANJANA,0,3.65E-06,0,0.000149757,0,0
ANJANETTE,1.09E-05,1.05E-05,8.04E-05,0,0,0
ANJU,0,2.28E-06,0,0.000161738,0.000225836,0
ANKUR,5.46E-06,1.82E-06,8.93E-06,0.000161738,0,0
ANN,0.000256616,0.002228274,0.000723305,0.000754776,0.001129178,0.001452433
ANNA,0.001359519,0.001293822,0.000660797,0.001078251,0.000677507,0.000968289
ANNABEL,3.82E-05,8.67E-06,2.68E-05,1.80E-05,0,0
ANNABELLE,2.18E-05,2.23E-05,8.93E-06,8.99E-05,0,0.000242072
ANNALISA,0,1.64E-05,8.93E-06,5.99E-06,0,0
ANNAMARIA,3.28E-05,1.37E-05,0,5.99E-06,0,0
ANNAMARIE,3.82E-05,2.69E-05,0,5.99E-06,0.000225836,0
ANNE,0.000169257,0.001856591,0.000339328,0.000545116,0.001355014,0.000484144
ANNELIESE,5.46E-06,1.41E-05,0,0,0,0
ANNEMARIE,0,7.30E-05,2.68E-05,5.99E-06,0,0
ANNETTA,5.46E-06,1.64E-05,8.04E-05,5.99E-06,0.000225836,0
ANNETTE,0.000562371,0.000630721,0.001455539,0.000155747,0.000677507,0.000242072
ANNIE,0.000125578,0.000134079,0.001803797,0.000784727,0.000225836,0.000726216
ANNMARIE,1.64E-05,8.12E-05,5.36E-05,5.99E-06,0,0
ANSELMO,0.000174717,4.56E-06,0,1.80E-05,0,0
ANSON,0,9.58E-06,8.93E-06,8.39E-05,0,0
ANTHONY,0.002877376,0.003966746,0.006643688,0.001952833,0.004065041,0.005325587
ANTJE,0,8.67E-06,0,0,0,0
ANTOINE,1.64E-05,2.55E-05,0.000375047,1.80E-05,0,0
ANTOINETTE,0.000163797,0.00017558,0.000696516,4.79E-05,0.000225836,0.000726216
ANTON,1.09E-05,7.48E-05,9.82E-05,3.59E-05,0.000225836,0
ANTONELLA,0,1.60E-05,0,0,0.000225836,0
ANTONETTE,1.64E-05,1.64E-05,3.57E-05,5.99E-06,0,0
ANTONIA,0.000704329,5.29E-05,0.000133945,5.99E-05,0.000451671,0.000242072
ANTONIETTA,5.46E-06,1.46E-05,0,5.99E-06,0,0
ANTONINA,1.09E-05,1.37E-05,0,3.00E-05,0,0
ANTONINO,6.55E-05,1.37E-05,0,5.99E-06,0,0
ANTONIO,0.006044127,0.000283209,0.000919758,0.000778737,0,0.000968289
ANTONY,5.46E-06,3.37E-05,3.57E-05,9.58E-05,0.000225836,0
ANUP,0,2.74E-06,0,0.000167728,0,0
ANURADHA,0,2.74E-06,0,0.000323475,0,0
ANWAR,0,6.84E-06,3.57E-05,0.000101835,0,0.000242072
APARNA,0,4.56E-06,0,0.00020367,0,0
APRIL,0.000245696,0.000670397,0.001000125,0.000167728,0.001129178,0.000484144
ARA,0,2.51E-05,8.93E-06,1.20E-05,0,0
ARACELI,0.000884506,7.75E-06,0,6.59E-05,0.000225836,0
ARACELY,0.000251156,1.37E-06,0,0,0,0
ARAM,5.46E-06,1.64E-05,0,5.99E-06,0,0
ARASH,5.46E-06,1.14E-05,0,3.59E-05,0,0.000242072
ARCELIA,0.000191097,2.28E-06,0,0,0,0
ARCHANA,0,3.65E-06,0,0.000245602,0.000225836,0
ARCHIE,1.64E-05,3.88E-05,0.000348258,2.40E-05,0,0.000726216
ARDEN,0,2.01E-05,6.25E-05,5.99E-06,0,0
ARDIS,0,1.37E-05,8.93E-06,0,0,0
ARI,1.09E-05,3.01E-05,0,2.40E-05,0,0
ARIANA,8.19E-05,1.23E-05,0,1.20E-05,0,0.000242072
ARIANNE,1.09E-05,1.28E-05,1.79E-05,0,0,0
ARIC,1.09E-05,2.37E-05,8.93E-06,5.99E-06,0,0
ARIE,5.46E-06,1.23E-05,1.79E-05,5.99E-06,0,0
ARIEL,0.000414954,3.88E-05,3.57E-05,0.000125796,0,0
ARIF,5.46E-06,5.02E-06,0,0.000143767,0,0
ARKADIUSZ,0,1.23E-05,0,0,0,0
ARKADY,0,1.05E-05,0,0,0,0
ARLA,0,7.30E-06,0,0,0,0
ARLEEN,1.09E-05,3.83E-05,5.36E-05,3.59E-05,0,0
ARLEN,5.46E-06,2.05E-05,0,0,0,0
ARLENE,0.000223857,0.000339759,0.000437555,0.000245602,0.000451671,0
ARLETTE,1.64E-05,9.12E-06,4.46E-05,1.20E-05,0,0
ARLIE,0,9.12E-06,0,0,0,0
ARLINE,1.09E-05,1.69E-05,8.93E-06,1.80E-05,0,0
ARLYN,1.09E-05,1.23E-05,8.93E-06,2.40E-05,0,0
ARMAND,1.64E-05,3.01E-05,8.93E-06,4.19E-05,0,0
ARMANDO,0.003685443,3.60E-05,1.79E-05,0.000275553,0.000225836,0
ARMEN,1.09E-05,3.74E-05,0,1.80E-05,0,0
ARMIDA,0.000174717,4.10E-06,0,5.99E-06,0,0
ARMIN,0,1.32E-05,0,1.20E-05,0,0
ARNALDO,0.000136498,3.19E-06,0,3.00E-05,0,0
ARNE,0,1.78E-05,2.68E-05,0,0,0
ARNEL,5.46E-06,2.74E-06,0,0.000179709,0,0
ARNO,0,9.12E-06,0,0,0,0
ARNOLD,0.000251156,0.000219361,0.000401836,0.000257582,0,0
ARNOLDO,0.000283916,1.37E-06,0,0,0,0
ARNULFO,0.000480473,9.12E-07,0,4.79E-05,0,0
ARON,2.18E-05,3.65E-05,8.93E-06,1.20E-05,0,0
ARSEN,0,8.67E-06,0,0,0,0
ARSENIO,7.10E-05,5.47E-06,8.93E-06,6.59E-05,0,0
ART,7.64E-05,2.60E-05,3.57E-05,5.39E-05,0,0
ARTEMIO,0.000223857,4.56E-07,0,7.19E-05,0,0
ARTHUR,0.000977325,0.001099999,0.001839516,0.000587048,0.000677507,0.000968289
ARTI,1.09E-05,5.02E-06,8.93E-06,0.000125796,0,0
ARTUR,1.09E-05,3.10E-05,0,0,0.000225836,0
ARTURO,0.003401528,2.60E-05,0,0.00020367,0,0.000242072
ARUN,5.46E-06,1.55E-05,8.93E-06,0.000563087,0.000225836,0
ARUNA,0,4.56E-06,0,0.000185699,0.000225836,0
ARVIN,2.73E-05,1.00E-05,0,5.39E-05,0,0
ARVIND,0,9.12E-06,0,0.000305504,0.000451671,0
ASA,5.46E-06,1.41E-05,3.57E-05,0,0,0
ASHA,0,7.30E-06,6.25E-05,0.000353427,0,0
ASHISH,0,8.21E-06,0,0.000599028,0,0
ASHLEE,5.46E-06,5.06E-05,1.79E-05,0,0,0
ASHLEIGH,5.46E-06,3.88E-05,1.79E-05,0,0,0
ASHLEY,0.000207477,0.000996931,0.000750094,0.000137777,0.000451671,0
ASHLIE,1.64E-05,1.60E-05,0,0,0,0
ASHOK,5.46E-06,1.41E-05,0,0.000802698,0.000451671,0.000242072
ASHRAF,0,2.05E-05,0,5.99E-05,0,0
ASHTON,0,1.28E-05,4.46E-05,0,0.000225836,0
ASHWIN,5.46E-06,5.93E-06,0,0.000137777,0,0.000242072
ASIF,5.46E-06,5.93E-06,0,0.000149757,0,0
ASIM,0,5.93E-06,0,0.000101835,0.000225836,0
ASMA,0,5.47E-06,8.93E-06,0.000113815,0.000225836,0
ASTRID,5.46E-05,2.05E-05,8.93E-06,2.40E-05,0,0
ATHANASIOS,0,1.73E-05,0,0,0,0
ATHENA,3.82E-05,3.97E-05,3.57E-05,2.40E-05,0,0
ATUL,0,4.56E-06,0,0.000329466,0,0
AUBREY,1.64E-05,7.52E-05,0.000187523,3.59E-05,0.000225836,0
AUDRA,4.91E-05,7.62E-05,0.000116086,0,0.000225836,0
AUDREY,9.83E-05,0.000389469,0.000964406,0.000143767,0.000677507,0.000242072
AUGUST,1.64E-05,5.79E-05,0,1.20E-05,0,0
AUGUSTIN,8.74E-05,5.02E-06,3.57E-05,1.20E-05,0,0
AUGUSTINE,0.000125578,1.46E-05,0.000187523,7.19E-05,0,0
AUGUSTO,0.000212937,6.84E-06,8.93E-06,8.99E-05,0,0
AUGUSTUS,0,1.23E-05,7.14E-05,1.20E-05,0,0
AURA,0.000218397,7.75E-06,8.93E-06,1.80E-05,0,0
AUREA,0.000109198,9.12E-07,0,5.99E-05,0,0
AURELIA,0.000169257,1.46E-05,2.68E-05,1.80E-05,0,0
AURELIO,0.000491392,6.84E-06,0,3.59E-05,0,0
AURORA,0.000567831,2.42E-05,4.46E-05,0.000251592,0,0
AUSTIN,5.46E-06,0.000160075,0.000178594,0.000119806,0,0.000484144
AUTUMN,1.09E-05,7.16E-05,2.68E-05,1.20E-05,0,0
AVA,2.18E-05,3.47E-05,0.000187523,4.19E-05,0,0.000484144
AVELINO,9.28E-05,1.37E-06,0,7.19E-05,0,0
AVERY,0,2.92E-05,0.000187523,1.20E-05,0,0
AVI,1.09E-05,1.55E-05,0,5.99E-06,0,0
AVIS,0,1.46E-05,0.000142875,0,0,0
AVIVA,0,1.55E-05,0,0,0,0
AXEL,4.37E-05,1.00E-05,2.68E-05,0,0,0
AYANNA,0,0,0.000133945,0,0,0
AZIZ,5.46E-06,1.37E-05,2.68E-05,5.99E-05,0,0
AZUCENA,0.000185637,1.82E-06,0,2.40E-05,0,0
BA,0,0,0,0.000107825,0,0
BABAK,0,1.41E-05,8.93E-06,1.20E-05,0,0
BABETTE,0,1.46E-05,0,1.20E-05,0,0
BAHMAN,0,1.19E-05,8.93E-06,1.80E-05,0,0.000242072
BAHRAM,0,1.50E-05,0,1.80E-05,0,0
BAILEY,0,2.01E-05,0,5.99E-06,0,0
BALAJI,5.46E-06,2.74E-06,8.93E-06,0.000227631,0.000225836,0
BALDEV,0,4.56E-06,0,0.000125796,0.000451671,0
BALTAZAR,0.000251156,9.12E-07,8.93E-06,2.40E-05,0,0
BALWINDER,0,3.65E-06,0,0.000149757,0,0
BAMBI,0,2.01E-05,8.93E-06,5.99E-06,0,0
BAO,0,9.12E-07,0,0.00064096,0.000225836,0.000242072
BARBARA,0.001141122,0.005455759,0.005223867,0.000449271,0.002710027,0.002420721
BARBRA,1.09E-05,2.78E-05,2.68E-05,0,0,0
BARNEY,1.64E-05,2.28E-05,5.36E-05,3.59E-05,0,0
BARRETT,0,4.01E-05,1.79E-05,5.99E-06,0,0
BARRIE,0,1.87E-05,0,0,0,0
BARRON,0,1.00E-05,7.14E-05,0,0.000225836,0
BARRY,8.19E-05,0.001091334,0.000651867,0.000155747,0.000677507,0.001210361
BART,1.09E-05,0.000123134,1.79E-05,3.00E-05,0,0
BARTHOLOMEW,5.46E-06,1.69E-05,6.25E-05,5.99E-06,0,0.000242072
BARTLEY,0,1.46E-05,0,0,0,0
BARTON,1.09E-05,6.80E-05,0,5.99E-06,0,0
BASIL,5.46E-06,3.15E-05,5.36E-05,0,0,0
BASSAM,0,2.14E-05,0,3.00E-05,0.000225836,0
BAXTER,0,6.84E-06,0,0,0,0
BEATA,0,3.56E-05,0,1.80E-05,0,0
BEATE,0,1.37E-05,0,5.99E-06,0,0
BEATRICE,0.000283916,0.00010398,0.000634008,8.39E-05,0.000677507,0
BEATRIZ,0.001152042,2.01E-05,1.79E-05,5.99E-05,0,0
BEAU,0,6.70E-05,0,1.20E-05,0,0.000242072
BECKIE,0,9.58E-06,0,0,0,0
BECKY,8.74E-05,0.000327902,5.36E-05,0.000161738,0,0.000242072
BELEN,0.000147418,4.10E-06,8.93E-06,6.59E-05,0,0
BELINDA,0.000300295,0.000173756,0.000687586,0.000149757,0,0.000968289
BELLA,1.09E-05,2.14E-05,8.93E-06,7.19E-05,0,0.000242072
BEN,0.000114658,0.00022301,0.000205383,0.000593038,0,0.000484144
BENEDETTO,0,1.09E-05,0,0,0,0
BENEDICT,2.18E-05,2.83E-05,5.36E-05,0.000137777,0,0.000242072
BENIGNO,0.000131038,4.56E-07,0,3.00E-05,0,0
BENITA,9.83E-05,2.14E-05,0.000196453,4.79E-05,0,0
BENITO,0.000595131,5.47E-06,8.93E-06,8.39E-05,0,0
BENJAMIN,0.001588836,0.00164407,0.001098352,0.001186076,0.001580849,0.001936577
BENNETT,0,4.79E-05,4.46E-05,3.00E-05,0,0
BENNIE,3.82E-05,4.15E-05,0.000428625,5.99E-06,0,0.000242072
BENNY,0.000103738,5.93E-05,0.000107156,0.000269563,0.000677507,0.000484144
BENSON,0,8.67E-06,2.68E-05,0.000149757,0,0
BENTON,5.46E-06,1.60E-05,0,1.20E-05,0.000225836,0
BERNABE,0.000120118,4.56E-07,0,4.79E-05,0,0
BERNADETTE,0.000311215,0.000229851,0.000535781,0.000275553,0.000451671,0.000726216
BERNADINE,2.18E-05,3.42E-05,0.000151805,2.40E-05,0,0
BERNARD,0.000120118,0.000479311,0.00113407,0.000251592,0,0.000484144
